Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
77,Boston,Boston,,,MA,02215,58.8,C-,78.8,55.4,0.0,9.4,36.9,5.7,673458.0,45.6,0.0,9.8,36.37,28,75,21,40,2026-04-02,21.54,28.82,28.82,28.82,740000.0,920,10,30,12.4,764.67,decreasing,597750,810000,-17
78,Boston,Boston,,,MA,02113,58.6,C-,78.8,54.8,0.0,9.4,36.9,5.7,673458.0,45.0,0.0,9.8,36.37,28,75,21,40,2026-04-02,21.54,28.82,28.82,28.82,750000.0,970,7,17,12.4,775.0,increasing,575000,750000,-13
79,Roslindale,Roslindale,Boston,Boston,MA,02131,58.3,C-,62.6,77.2,0.0,9.4,36.9,5.7,673458.0,53.7,13.7,9.8,41.23,34,69,19,40,2026-04-02,19.66,34.85,34.85,34.85,604500.0,526,20,15,12.4,624.65,stable,595000,629000,-13
80,Dorchester,Dorchester,"Boston, Grove Hall",Boston,MA,02121,57.4,C-,47.6,96.1,0.0,9.4,36.9,5.7,673458.0,59.4,26.8,9.8,47.19,38,79,22,40,2026-04-02,22.1,39.5,39.5,39.5,510000.0,342,3,6,12.4,527.0,increasing,310000,582500,-7
81,Quincy,Quincy,"North Quincy, Squantum",,MA,02171,57.2,C-,43.9,88.9,27.8,46.5,45.3,31.2,103434.0,60.0,18.9,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,349950.0,448,14,14,11.78,343.53,decreasing,349900,600000,7
82,Norfolk,Norfolk,,,MA,02056,56.8,C-,41.7,71.5,73.1,88.9,63.8,75.2,11962.0,43.2,20.0,8.2,52.44,44,83,30,40,2026-04-02,30.94,46.63,46.63,46.63,780000.0,433,3,4,14.87,966.55,decreasing,680000,835000,-6
83,East Boston,East Boston,Boston,Boston,MA,02128,56.7,C-,65.8,68.0,0.0,9.4,36.9,5.7,673458.0,51.0,7.0,10.0,40.25,39,40,22,2,2026-04-02,22.98,30.95,30.95,30.95,650500.0,659,56,64,12.1,655.92,stable,627900,679125,-6
84,Quincy,Quincy,,,MA,02169,55.9,C-,43.9,85.2,27.8,46.5,45.3,31.2,103434.0,60.0,15.2,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,414500.0,497,27,34,11.78,406.9,stable,388500,422500,7
85,Holbrook,Holbrook,,,MA,02343,55.5,C-,40.6,89.6,25.4,41.9,33.0,39.1,11475.0,57.3,22.3,10.0,53.44,42,87,34,40,2026-04-02,34.24,43.05,43.05,43.05,545000.0,403,1,3,12.11,550.0,decreasing,315000,704900,-28
86,Brockton,Brockton,,,MA,02302,55.2,C-,40.5,100.0,0.0,4.4,0.0,37.0,105788.0,60.0,30.0,10.0,53.57,42,90,36,40,2026-04-02,34.82,43.25,43.25,43.25,267000.0,233,1,1,11.63,258.77,decreasing,267000,330000,-4
87,Brockton,Brockton,,,MA,02301,55.2,C-,40.5,100.0,0.0,4.4,0.0,37.0,105788.0,60.0,30.0,10.0,53.57,42,90,36,40,2026-04-02,34.82,43.25,43.25,43.25,264250.0,293,12,14,11.63,256.1,stable,250000,285000,-4
88,Quincy,Quincy,Wollaston,,MA,02170,54.9,D,43.9,82.2,27.8,46.5,45.3,31.2,103434.0,60.0,12.2,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,374500.0,556,2,0,11.78,367.63,stable,374500,499950,6
89,Mattapan,Mattapan,Boston,Boston,MA,02126,54.0,D,46.4,88.0,0.0,9.4,36.9,5.7,673458.0,60.0,18.2,9.8,48.23,40,78,22,40,2026-04-02,28.33,40.7,40.7,40.7,355000.0,457,1,6,12.4,366.83,increasing,209000,515000,-3
90,South Boston,South Boston,Boston,Boston,MA,02127,53.2,D,72.9,48.0,0.0,9.4,36.9,5.7,673458.0,38.0,0.0,10.0,38.14,36,39,23,2,2026-04-02,23.28,33.17,33.17,33.17,882500.0,830,52,75,12.1,889.85,stable,770000,915000,-3
