Rank,Town,Primary Town Name,Alternate Town Name,Matched_Alias,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Crime_Score,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,Population,Price_Score,PPSF_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Work2_Distance,Work2_Avg_Time,Work2_Min_Time,Work2_Max_Time,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
59,Norfolk,Norfolk,,,MA,02056,59.0,C-,41.7,77.7,73.1,88.9,63.8,75.2,11962.0,43.6,25.9,8.2,52.44,44,83,30,40,2026-04-02,30.94,46.63,46.63,46.63,772972.5,355,4,9,14.87,957.84,increasing,620000,866980,-17
60,Boston,Boston,Roxbury,,MA,02118,57.8,C-,78.8,52.7,0.0,9.4,36.9,5.7,673458.0,42.9,0.0,9.8,36.37,28,75,21,40,2026-04-02,21.54,28.82,28.82,28.82,785000.0,1048,5,3,12.4,811.17,decreasing,785000,3177500,-12
61,East Boston,East Boston,Boston,Boston,MA,02128,57.8,C-,65.8,71.0,0.0,9.4,36.9,5.7,673458.0,60.0,1.1,10.0,40.25,39,40,22,2,2026-04-02,22.98,30.95,30.95,30.95,435000.0,779,1,2,12.1,438.62,decreasing,435000,785000,-12
62,Quincy,Quincy,Wollaston,,MA,02170,57.2,C-,43.9,88.7,27.8,46.5,45.3,31.2,103434.0,56.0,22.6,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,566000.0,398,1,0,11.78,555.62,decreasing,566000,850000,4
63,Holbrook,Holbrook,,,MA,02343,56.7,C-,40.6,93.2,25.4,41.9,33.0,39.1,11475.0,60.0,23.2,10.0,53.44,42,87,34,40,2026-04-02,34.24,43.05,43.05,43.05,485000.0,391,1,0,12.11,489.45,stable,485000,505000,-31
64,Brockton,Brockton,,,MA,02302,55.2,C-,40.5,100.0,0.0,4.4,0.0,37.0,105788.0,60.0,30.0,10.0,53.57,42,90,36,40,2026-04-02,34.82,43.25,43.25,43.25,290000.0,234,1,0,11.63,281.06,increasing,250000,510000,-2
65,Dorchester,Dorchester,"Boston, Grove Hall",Boston,MA,02121,55.1,C-,47.6,89.3,0.0,9.4,36.9,5.7,673458.0,49.5,30.0,9.8,47.19,38,79,22,40,2026-04-02,22.1,39.5,39.5,39.5,675000.0,283,1,1,12.4,697.5,increasing,362200,675000,-6
66,Quincy,Quincy,,,MA,02169,55.0,D,43.9,82.4,27.8,46.5,45.3,31.2,103434.0,50.7,21.8,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,655000.0,410,8,10,11.78,642.99,increasing,560000,735000,4
67,Dorchester,Dorchester,"Boston, Uphams Corner",Boston,MA,02125,54.5,D,47.6,87.7,0.0,9.4,36.9,5.7,673458.0,56.4,21.5,9.8,47.19,38,79,22,40,2026-04-02,22.1,39.5,39.5,39.5,560500.0,413,2,1,12.4,579.18,decreasing,499900,820000,-7
68,Brockton,Brockton,,,MA,02301,54.0,D,40.5,96.5,0.0,4.4,0.0,37.0,105788.0,60.0,26.5,10.0,53.57,42,90,36,40,2026-04-02,34.82,43.25,43.25,43.25,325000.0,347,3,1,11.63,314.98,decreasing,315000,410000,-3
69,Quincy,Quincy,"North Quincy, Squantum",,MA,02171,54.0,D,43.9,79.8,27.8,46.5,45.3,31.2,103434.0,46.5,23.2,10.0,50.47,39,87,31,40,2026-04-02,31.08,39.58,39.58,39.58,725000.0,390,5,4,11.78,711.71,increasing,575000,971250,2
70,Roxbury,Roxbury,Boston,Boston,MA,02119,52.8,D,53.9,73.8,0.0,9.4,36.9,5.7,673458.0,54.0,10.0,9.8,43.84,36,77,22,40,2026-04-02,24.42,37.68,37.68,37.68,600000.0,600,1,5,12.4,620.0,decreasing,600000,1135000,-3
71,Mattapan,Mattapan,Boston,Boston,MA,02126,52.6,D,46.4,83.9,0.0,9.4,36.9,5.7,673458.0,55.5,18.6,9.8,48.23,40,78,22,40,2026-04-02,28.33,40.7,40.7,40.7,575000.0,452,3,1,12.4,594.17,increasing,517000,575000,-2
72,Dorchester Center,Dorchester Center,"Boston, Dorchester, Dorchestr Ctr",Boston,MA,02124,47.5,F,44.6,72.1,0.0,9.4,36.9,5.7,673458.0,43.8,18.3,10.0,49.89,47,52,22,2,2026-04-02,27.16,41.35,41.35,41.35,770000.0,456,5,3,12.1,776.42,stable,539000,770000,0
