Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Salem,NH,03079,1,2026-03-13,472466.5,472466.5,472466.5,472466.5,395000.0,343,14,6,redfin,18.16,database,8579.99,715.0,472466,1100000,697261,12,decreasing
Newton,MA,02464,1,2026-03-13,470000.0,470000.0,470000.0,470000.0,670000.0,637,3,3,redfin,9.69,database,4554.3,379.52,434950,1407000,881454,12,decreasing
Reading,MA,01867,1,2026-03-13,470000.0,470000.0,470000.0,470000.0,624450.0,491,11,6,redfin,10.96,database,5151.2,429.27,470000,915000,741537,12,decreasing
Dorchester,MA,02121,1,2026-03-13,465000.0,465000.0,465000.0,465000.0,409999.0,442,4,3,redfin,12.4,database,5766.0,480.5,465000,1025000,720833,12,decreasing
Acton,MA,01718,1,2026-03-13,450000.0,450000.0,450000.0,450000.0,544450.0,256,5,1,redfin,16.23,database,7303.5,608.62,417500,555000,471583,12,stable
Northborough,MA,01532,1,2026-03-13,450000.0,450000.0,450000.0,450000.0,440000.0,331,9,3,redfin,14.82,database,6669.0,555.75,386500,1095000,725379,12,decreasing
Andover,MA,01810,1,2026-03-13,449500.0,449500.0,449500.0,449500.0,335950.0,443,10,6,redfin,12.31,database,5533.34,461.11,449500,1309950,885570,12,decreasing
Nashua,NH,03063,1,2026-03-13,444250.0,444250.0,444250.0,444250.0,415000.0,284,46,11,redfin,16.83,database,7476.73,623.06,354500,609950,459541,12,increasing
Chelmsford,MA,01863,1,2026-03-13,442000.0,442000.0,442000.0,442000.0,455000.0,367,13,5,redfin,13.27,database,5865.34,488.78,275000,650000,518787,12,decreasing
Lynn,MA,01905,1,2026-03-13,438750.0,438750.0,438750.0,438750.0,729900.0,260,2,5,redfin,10.3,database,4519.12,376.59,340000,1035000,625589,12,decreasing
Mansfield,MA,02048,1,2026-03-13,438000.0,438000.0,438000.0,438000.0,425000.0,302,12,3,redfin,13.09,database,5733.42,477.78,355000,735000,599250,12,decreasing
Clinton,MA,01510,1,2026-03-13,430000.0,430000.0,430000.0,430000.0,439900.0,272,41,21,redfin,12.98,database,5581.4,465.12,335000,706000,477575,12,increasing
Methuen,MA,01844,1,2026-03-13,425000.0,425000.0,425000.0,425000.0,419900.0,322,15,4,redfin,10.4,database,4420.0,368.33,382500,776500,567945,12,decreasing
Weymouth,MA,02189,1,2026-03-13,412500.0,412500.0,412500.0,412500.0,469900.0,418,2,1,redfin,10.12,database,4174.5,347.88,303000,930000,540100,12,decreasing
Hingham,MA,02043,1,2026-03-13,403750.0,403750.0,403750.0,403750.0,438999.5,482,4,1,redfin,10.47,database,4227.26,352.27,403750,1442500,948854,12,decreasing
Quincy,MA,02170,1,2026-03-13,399000.0,399000.0,399000.0,399000.0,373900.0,559,5,0,redfin,11.78,database,4700.22,391.68,399000,931500,700458,12,decreasing
Norwood,MA,02062,1,2026-03-13,396000.0,396000.0,396000.0,396000.0,382499.5,393,6,2,redfin,9.82,database,3888.72,324.06,396000,875000,636666,12,decreasing
Lynn,MA,01901,1,2026-03-13,375000.0,375000.0,375000.0,375000.0,385000.0,395,3,4,redfin,10.3,database,3862.5,321.88,312000,390000,366583,12,increasing
Lawrence,MA,01841,1,2026-03-13,354000.0,354000.0,354000.0,354000.0,315000.0,376,4,2,redfin,8.64,database,3058.56,254.88,245000,807500,528791,12,decreasing
Ipswich,MA,01938,1,2026-03-13,350000.0,350000.0,350000.0,350000.0,499900.0,398,5,3,redfin,10.78,database,3773.0,314.42,325000,925000,724375,12,decreasing
Everett,MA,02149,1,2026-03-13,325000.0,325000.0,325000.0,325000.0,299000.0,466,3,6,redfin,12.62,database,4101.5,341.79,325000,899950,671704,12,decreasing
