Rank,Town,State,Zip,Total_Score,Tier,Commute_Score,Housing_Score,Price_Score,Tax_Score,Avg_Commute_Min,Min_Commute_Min,Max_Commute_Min,Distance_Miles,Commute_Runs,Last_Updated,Median_Price,Price_Per_SqFt,Homes_Sold,Inventory,Tax_Rate_Per_1000,Est_Monthly_Tax,Price_Trend,Min_Monthly_Price,Max_Monthly_Price,Rank_Change
91,Ipswich,MA,01938,64.9,C,41.5,100.0,90.0,10.0,52.65,42,104,33,34,2026-03-25,350000.0,398,5,3,10.78,314.42,decreasing,325000,925000,9
92,Medfield,MA,02052,64.9,C,60.6,71.4,62.3,9.1,41.82,34,69,25,34,2026-03-25,819500.0,315,2,0,13.52,923.3,increasing,300000,1256000,-22
93,Sterling,MA,01564,64.7,C,45.0,94.3,84.6,9.7,49.5,42,90,34,34,2026-03-25,560000.0,306,16,8,12.55,585.67,stable,395500,560000,-2
94,Holbrook,MA,02343,64.1,C,40.1,100.0,90.0,10.0,53.92,42,87,34,34,2026-03-25,499900.0,403,3,1,12.11,504.48,decreasing,353000,540000,11
95,Brockton,MA,02302,63.9,C,39.9,100.0,90.0,10.0,54.1,42,90,36,34,2026-03-25,488500.0,327,64,32,11.63,473.44,stable,310000,925000,14
96,Wrentham,MA,02093,63.7,C,39.5,100.0,90.0,10.0,54.47,44,84,37,34,2026-03-25,225000.0,251,1,0,11.67,218.81,decreasing,225000,800000,15
97,Lunenburg,MA,01462,63.6,C,42.0,95.9,87.3,8.6,52.18,44,89,33,34,2026-03-25,529800.0,284,37,12,14.39,635.32,stable,490000,640000,2
98,Pepperell,MA,01463,63.6,C,49.1,85.4,76.5,8.9,45.85,38,97,30,34,2026-03-25,649900.0,274,33,3,13.78,746.3,increasing,350000,649900,-13
99,Dorchester,MA,02125,63.5,C,47.3,87.7,77.9,9.8,47.45,38,79,22,34,2026-03-25,635000.0,441,38,42,12.4,656.17,increasing,559000,1300500,-5
100,Fitchburg,MA,01420,63.2,C,39.2,99.2,90.0,9.2,54.71,47,93,34,34,2026-03-25,310000.0,259,8,7,13.29,343.32,increasing,240000,525000,6
101,Revere,MA,02151,63.1,C,50.2,82.5,72.5,10.0,44.93,34,91,25,34,2026-03-25,695000.0,410,35,12,8.94,517.78,decreasing,345000,880000,-9
102,Boylston,MA,01583,63.0,C,41.5,95.2,86.2,9.1,52.64,46,90,37,34,2026-03-25,542450.0,300,16,2,13.58,613.87,decreasing,477500,615000,0
103,Milford,MA,01757,62.7,C,41.3,94.7,85.1,9.6,52.84,43,90,37,34,2026-03-25,554950.0,291,82,30,12.69,586.86,decreasing,316500,715000,5
104,Pelham,NH,03076,62.5,C,47.9,84.3,78.8,5.6,46.87,39,97,23,34,2026-03-25,625000.0,315,47,13,19.09,994.27,decreasing,570000,785000,-15
105,Boylston,MA,01505,62.4,C,41.5,93.7,84.6,9.1,52.64,46,90,37,34,2026-03-25,560000.0,299,13,2,13.58,633.73,decreasing,357500,820000,-2
106,Marlborough,MA,01752,62.2,C,54.0,74.4,64.4,10.0,43.81,37,74,28,34,2026-03-25,785000.0,247,7,6,10.54,689.49,increasing,283500,791000,-16
107,Weymouth,MA,02191,62.2,C,43.1,90.8,80.8,10.0,51.22,37,88,33,34,2026-03-25,601776.5,471,28,7,10.12,507.5,decreasing,405000,772500,5
108,Mattapan,MA,02126,62.1,C,46.0,86.3,76.5,9.8,48.57,40,78,22,34,2026-03-25,650000.0,378,23,19,12.4,671.67,increasing,430000,1200000,-7
109,Townsend,MA,01469,61.6,C,37.5,97.8,88.8,9.0,56.29,49,106,35,34,2026-03-25,513000.0,260,14,6,13.75,587.81,stable,100000,597500,9
110,Medway,MA,02053,61.5,C,39.4,94.7,86.0,8.8,54.55,47,85,31,34,2026-03-25,545000.0,310,3,4,14.0,635.83,decreasing,538750,734500,5
111,Walpole,MA,02081,61.4,C,49.5,79.3,69.5,9.8,45.46,37,74,26,34,2026-03-25,727500.0,379,34,14,12.45,754.78,stable,511250,845000,-13
112,Weymouth,MA,02188,61.3,C,43.1,88.6,78.6,10.0,51.22,37,88,33,34,2026-03-25,627000.0,338,2,2,10.12,528.77,increasing,188500,660150,2
113,Groveland,MA,01834,60.8,C,43.4,86.8,77.4,9.4,50.9,41,106,35,34,2026-03-25,640000.0,356,22,7,12.98,692.27,decreasing,450000,925000,0
114,Atkinson,NH,03811,60.3,C,41.9,87.8,78.2,9.5,52.29,44,101,37,34,2026-03-25,630935.0,434,19,10,12.82,674.05,stable,538500,649933,3
115,Townsend,MA,01474,60.3,C,37.5,94.5,85.5,9.0,56.29,49,106,35,34,2026-03-25,550000.0,289,7,1,13.75,630.21,stable,350000,576500,10
116,Roxbury,MA,02132,59.7,C-,53.6,68.9,59.1,9.8,43.92,36,77,22,34,2026-03-25,862500.0,476,56,8,12.4,891.25,increasing,447500,1050000,-12
117,Swampscott,MA,01907,59.4,C-,42.7,84.5,74.5,10.0,51.56,40,97,24,34,2026-03-25,672750.0,382,36,18,12.0,672.75,decreasing,396500,1065000,6
