Town,State,Tax_Rate_Per_1000,Fiscal_Year,Last_Updated ,Comments
Warren,NH,24.56,2025,12/31/2025,
Waterville Valley,NH,9.96,2025,12/31/2025,
Wentworth,NH,28.54,2025,12/31/2025,
Wilmot,NH,16.09,2025,12/31/2025,
Windham,NH,14.14,2025,12/31/2025,
Windsor,NH,10.54,2025,12/31/2025,
Barrington,RI,15.34,2025,12/31/2025,
Bristol,RI,10.61,2025,12/31/2025,
Burrillville,RI,11.9,2025,12/31/2025,
Central Falls,RI,13.21,2025,12/31/2025,
Charlestown,RI,5.93,2025,12/31/2025,
Coventry,RI,16.09,2025,12/31/2025,
Cranston,RI,13.88,2025,12/31/2025,
Cumberland,RI,12.27,2025,12/31/2025,
East Greenwich,RI,15.57,2025,12/31/2025,
East Providence,RI,13.07,2025,12/31/2025,
Exeter,RI,11.75,2025,12/31/2025,
Foster,RI,21.52,2025,12/31/2025,
Glocester,RI,14.26,2025,12/31/2025,
Hopkinton,RI,15.29,2025,12/31/2025,
Jamestown,RI,5.64,2025,12/31/2025,
Johnston,RI,15.62,2025,12/31/2025,
Lincoln,RI,13.52,2025,12/31/2025,
Little Compton,RI,4.79,2025,12/31/2025,
Middletown,RI,9.06,2025,12/31/2025,
Narragansett,RI,6.79,2025,12/31/2025,
New Shoreham,RI,5.76,2025,12/31/2025,
Newport,RI,8.69,2025,12/31/2025,
North Kingstown,RI,11.04,2025,12/31/2025,
North Providence,RI,17.58,2025,12/31/2025,
North Smithfield,RI,11.5,2025,12/31/2025,
Pawtucket,RI,13.15,2025,12/31/2025,
Portsmouth,RI,13.28,2025,12/31/2025,
Providence,RI,8.4,2025,12/31/2025,
Richmond,RI,14.67,2025,12/31/2025,
Scituate,RI,13.91,2025,12/31/2025,
Smithfield,RI,12.39,2025,12/31/2025,
South Kingstown,RI,8.94,2025,12/31/2025,
Tiverton,RI,11.33,2025,12/31/2025,
Warren,RI,14.89,2025,12/31/2025,
Warwick,RI,12.7,2025,12/31/2025,
West Greenwich,RI,16,2025,12/31/2025,
West Warwick,RI,14.29,2025,12/31/2025,
Westerly,RI,7.11,2025,12/31/2025,
Woonsocket,RI,11.23,2025,12/31/2025,
