Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Rockland,61.9,26.654619381070702,472,17708,59.5,69.9,74.7,2.428281002936526,1.807092839394624,9.091935848204201,43.0,32.0,161.0
Rockport,89.1,7.615286983500211,54,7091,92.9,90.6,89.4,0.42307149908334507,0.5640953321111268,3.8076434917501056,3.0,4.0,27.0
Rowe,83.0,11.933174224343675,5,419,100.0,60.2,86.7,0.0,2.3866348448687353,4.773269689737471,0.0,1.0,2.0
Rowley,98.6,0.9472687085569941,6,6334,97.4,100.0,99.6,0.15787811809283234,0.0,0.15787811809283234,1.0,0.0,1.0
Royalston,91.1,6.196746707978312,8,1291,87.1,100.0,93.5,0.774593338497289,0.0,2.3237800154918666,1.0,0.0,3.0
Russell,71.3,20.121951219512194,33,1640,69.5,59.3,89.8,1.829268292682927,2.4390243902439024,3.658536585365854,3.0,4.0,6.0
Rutland,77.9,15.46124312545398,149,9637,87.9,84.4,74.9,0.7263671266991802,0.9339005914703746,9.027705717546954,7.0,9.0,87.0
Salem,37.7,43.63246272741205,1993,45677,76.3,58.8,17.4,1.423035663463012,2.473892768789544,29.09560610372835,65.0,113.0,1329.0
Salisbury,58.7,28.890069038767923,272,9415,73.4,59.3,62.2,1.5932023366967605,2.4429102496016997,13.595326606479023,15.0,23.0,128.0
Sandwich,74.0,18.188911103525623,373,20507,75.6,79.7,80.0,1.462915102160238,1.219095918466865,7.2170478373238405,30.0,25.0,148.0
Saugus,57.5,29.728891797857315,863,29029,60.4,60.4,70.2,2.37693341141617,2.37693341141617,10.713424506527954,69.0,69.0,311.0
Scituate,88.5,8.062047147668128,158,19598,91.5,93.2,88.1,0.5102561485865904,0.4082049188692724,4.28615164812736,10.0,8.0,84.0
Seekonk,53.0,32.93112116641529,524,15912,64.4,58.1,59.2,2.136752136752137,2.5138260432378083,14.705882352941176,34.0,40.0,234.0
Sharon,90.0,6.982198059908325,131,18762,93.8,89.3,91.1,0.37309455281952886,0.6395906619763352,3.197953309881676,7.0,12.0,60.0
Shelburne,73.3,18.676627534685167,35,1874,91.1,73.3,68.9,0.5336179295624334,1.6008537886873,11.205976520811099,1.0,3.0,21.0
Sherborn,91.1,6.243032329988852,28,4485,92.6,92.6,92.6,0.4459308807134894,0.4459308807134894,2.6755852842809364,2.0,2.0,12.0
Shirley,76.9,16.1885827889804,114,7042,76.3,83.4,83.0,1.4200511218403862,0.9940357852882703,6.106219823913661,10.0,7.0,43.0
Shrewsbury,80.5,13.629480060575467,540,39620,95.0,87.8,72.4,0.3028773346794548,0.7319535588086825,9.919232710752144,12.0,29.0,393.0
Shutesbury,92.5,5.241700640652301,9,1717,90.3,100.0,93.5,0.5824111822947001,0.0,2.3296447291788005,1.0,0.0,4.0
Somerset,69.1,21.65986394557823,398,18375,71.9,73.7,76.4,1.6870748299319727,1.5782312925170068,8.489795918367347,31.0,29.0,156.0
Somerville,48.7,35.898185005295254,2949,82149,66.3,45.7,56.2,2.0207184506202145,3.3475757465093916,15.751865512666011,166.0,275.0,1294.0
South Hadley,54.2,32.05590372136875,578,18031,66.7,56.6,60.4,1.9965614774554932,2.6066219289002275,14.253230547390606,36.0,47.0,257.0
