Town,Crime_Score,Crime_Rate_Per_1000,Total_Crime_Weight,Population,High_Severity_Score,Medium_Severity_Score,Low_Severity_Score,High_Severity_Per_1000,Medium_Severity_Per_1000,Low_Severity_Per_1000,High_Severity_Count,Medium_Severity_Count,Low_Severity_Count
Clinton,61.5,3.748411689961881,59.0,15740,57.9,45.7,68.1,0.1905972045743329,0.6988564167725541,0.6988564167725541,3.0,11.0,11.0
Cohasset,27.0,7.501172058134084,64.0,8532,11.2,63.8,40.1,0.9376465072667605,0.46882325363338023,1.4064697609001406,8.0,4.0,12.0
Concord,74.0,2.6531063453460093,48.0,18092,72.0,87.8,34.2,0.1105460977227504,0.16581914658412558,1.6029184169798807,2.0,3.0,29.0
Dalton,52.6,4.51758631816715,28.0,6198,41.8,42.8,79.6,0.32268473701193934,0.8067118425298483,0.484027105517909,2.0,5.0,3.0
Danvers,32.9,6.64568030779993,190.0,28590,31.9,30.6,44.4,0.4197271773347324,1.0842952081147255,1.2941587967820916,12.0,31.0,37.0
Dartmouth,25.0,7.733091186033569,264.0,34139,34.5,20.7,32.9,0.38079615688801666,1.4060165792788306,1.6110606637569935,13.0,48.0,55.0
Dedham,49.7,4.630174612517167,118.0,25485,16.1,83.9,92.8,0.7455365901510693,0.23543260741612712,0.19619383951343927,19.0,6.0,5.0
Deerfield,20.1,8.692292833687464,45.0,5177,22.0,44.1,6.6,0.5794861889124976,0.7726482518833301,3.4769171334749855,3.0,4.0,18.0
Dennis,4.9,16.552280985062577,246.0,14862,5.3,4.9,30.6,1.2784282061633696,2.825999192571659,1.6821423765307495,19.0,42.0,25.0
Dighton,63.8,3.504531722054381,29.0,8275,69.4,82.6,18.4,0.12084592145015105,0.2416918429003021,2.175226586102719,1.0,2.0,18.0
Douglas,20.4,8.675412611087602,82.0,9452,42.1,31.9,4.6,0.31739314430808296,1.0579771476936097,3.9145154464663565,3.0,10.0,37.0
Dover,92.8,1.3207858675912167,8.0,6057,90.6,74.7,88.2,0.0,0.3301964668978042,0.3301964668978042,0.0,2.0,2.0
Dracut,71.4,2.850903797161228,94.0,32972,68.4,55.3,78.6,0.1213150551983501,0.576246512192163,0.515588984592988,4.0,19.0,17.0
Dudley,24.3,7.760347129506008,93.0,11984,77.0,11.8,35.2,0.08344459279038718,1.9192256341789051,1.5854472630173564,1.0,23.0,19.0
Dunstable,91.1,1.4285714285714286,5.0,3500,90.6,78.8,75.3,0.0,0.28571428571428575,0.5714285714285715,0.0,1.0,2.0
Duxbury,73.0,2.6866947548391034,44.0,16377,59.9,76.0,61.5,0.18318373328448434,0.30530622214080727,0.8548574219942603,3.0,5.0,14.0
East Bridgewater,78.6,2.341759074316413,34.0,14519,90.6,73.4,43.8,0.0,0.344376334458296,1.3086300709415248,0.0,5.0,19.0
East Brookfield,68.1,3.129190880643719,7.0,2237,90.6,95.4,8.6,0.0,0.0,3.129190880643719,0.0,0.0,7.0
East Longmeadow,78.0,2.3614895549500456,39.0,16515,68.8,71.1,71.1,0.12110202845897669,0.36330608537693004,0.6660611565243718,2.0,6.0,11.0
Eastham,34.2,6.524725274725275,38.0,5824,17.8,60.5,36.2,0.6868131868131868,0.5151098901098902,1.5453296703296702,4.0,3.0,9.0
Easthampton,64.5,3.4332084893882646,55.0,16020,50.7,61.5,68.8,0.24968789013732834,0.4993757802746567,0.686641697877653,4.0,8.0,11.0
